strategy,replication,arrival_mean,batch_window,orders_completed,throughput_orders_hr,avg_distance_m,avg_flow_time_s,avg_wait_time_s,utilization,run_time_s
batch_lg,4,300.0,120.0,84,12.34,104.4,246.7,54.2,0.012,0.0
batch_lg,0,300.0,300.0,78,11.28,99.5,348.3,143.8,0.012,0.0
batch_lg,1,300.0,300.0,87,12.79,87.2,382.2,156.5,0.013,0.0
batch_lg,2,300.0,300.0,81,12.34,85.9,375.5,156.3,0.01,0.0
batch_lg,3,300.0,300.0,67,9.71,96.6,354.9,152.0,0.012,0.0
batch_lg,4,300.0,300.0,82,11.81,91.1,374.3,167.8,0.01,0.0
batch_lg,0,300.0,600.0,79,12.14,65.9,537.2,289.3,0.012,0.0
batch_lg,1,300.0,600.0,65,9.45,80.9,508.5,287.2,0.016,0.0
batch_lg,2,300.0,600.0,88,13.27,67.7,549.4,292.7,0.018,0.0
batch_lg,3,300.0,600.0,95,13.77,60.8,559.5,289.0,0.021,0.0
batch_lg,4,300.0,600.0,94,13.65,66.9,602.2,315.9,0.013,0.0
batch_lg,0,600.0,120.0,44,6.63,99.0,225.5,54.6,0.01,0.0
batch_lg,1,600.0,120.0,47,6.88,110.3,217.7,60.3,0.008,0.0
batch_lg,2,600.0,120.0,42,6.31,114.3,233.6,65.0,0.01,0.0
batch_lg,3,600.0,120.0,36,5.3,104.3,203.9,57.2,0.008,0.0
batch_lg,4,600.0,120.0,52,8.21,113.3,251.4,70.8,0.01,0.0
batch_lg,0,600.0,300.0,51,8.0,99.0,355.1,151.4,0.027,0.0
batch_lg,1,600.0,300.0,38,5.63,112.4,340.8,157.4,0.009,0.0
batch_lg,2,600.0,300.0,35,5.21,114.5,325.1,157.5,0.009,0.0
batch_lg,3,600.0,300.0,44,6.66,94.5,328.2,147.7,0.011,0.0
batch_lg,4,600.0,300.0,36,5.44,119.2,338.9,165.0,0.014,0.0
batch_lg,0,600.0,600.0,34,5.1,104.5,408.2,210.6,0.01,0.0
batch_lg,1,600.0,600.0,37,5.6,88.0,530.3,300.2,0.01,0.0
batch_lg,2,600.0,600.0,34,5.11,96.4,513.2,312.0,0.012,0.0
batch_lg,3,600.0,600.0,53,7.86,85.0,514.3,293.6,0.016,0.0
batch_lg,4,600.0,600.0,45,6.73,94.4,523.5,296.9,0.011,0.0
