strategy,replication,arrival_mean,num_pickers,orders_completed,throughput_orders_hr,avg_distance_m,avg_flow_time_s,avg_wait_time_s,utilization,run_time_s
genetic,4,180.0,2,137,19.67,137.3,186.3,18.7,0.028,0.4
genetic,0,300.0,1,82,11.75,135.5,270.7,105.0,0.026,0.2
genetic,1,300.0,1,77,11.06,131.5,259.3,99.1,0.024,0.2
genetic,2,300.0,1,95,14.24,128.4,260.0,102.0,0.021,0.3
genetic,3,300.0,1,82,11.78,137.6,265.4,97.4,0.021,0.2
genetic,4,300.0,1,101,14.82,137.6,332.2,164.3,0.021,0.3
genetic,0,300.0,2,94,13.97,139.4,187.6,17.2,0.022,0.2
genetic,1,300.0,2,69,10.01,137.3,176.2,8.6,0.024,0.2
genetic,2,300.0,2,95,13.91,135.3,182.5,17.2,0.019,0.2
genetic,3,300.0,2,80,11.61,137.2,177.8,10.5,0.022,0.2
genetic,4,300.0,2,86,12.42,140.5,175.3,4.2,0.019,0.2
genetic,0,600.0,1,43,6.3,135.8,183.2,17.7,0.022,0.1
genetic,1,600.0,1,32,4.6,124.5,181.2,28.6,0.022,0.1
genetic,2,600.0,1,37,5.42,143.5,204.4,29.4,0.022,0.1
genetic,3,600.0,1,38,5.71,144.1,201.3,24.7,0.022,0.1
genetic,4,600.0,1,33,4.82,140.4,191.6,19.9,0.019,0.1
genetic,0,600.0,2,40,5.79,137.0,168.5,0.0,0.022,0.1
genetic,1,600.0,2,35,5.16,145.9,178.9,0.0,0.024,0.1
genetic,2,600.0,2,48,7.1,143.6,187.0,11.9,0.021,0.1
genetic,3,600.0,2,50,7.34,142.7,179.8,6.8,0.027,0.1
genetic,4,600.0,2,49,7.5,132.9,165.2,3.4,0.044,0.1
hybrid_ga,0,180.0,1,128,18.54,128.3,384.8,227.2,0.033,0.3
hybrid_ga,1,180.0,1,136,19.73,124.2,443.6,290.4,0.047,0.4
hybrid_ga,2,180.0,1,137,19.73,126.7,630.8,475.3,0.026,0.3
hybrid_ga,3,180.0,1,150,21.54,134.5,1290.8,1125.4,0.027,0.4
hybrid_ga,4,180.0,1,130,18.77,136.3,447.1,280.7,0.036,0.3
hybrid_ga,0,180.0,2,142,20.66,138.1,195.0,25.9,0.059,0.4
hybrid_ga,1,180.0,2,149,21.51,127.9,181.2,24.4,0.038,0.4
hybrid_ga,2,180.0,2,113,16.76,134.7,180.1,14.2,0.027,0.3
hybrid_ga,3,180.0,2,132,19.33,131.5,177.1,15.5,0.032,0.3
hybrid_ga,4,180.0,2,137,19.68,132.9,181.6,18.3,0.035,0.4
hybrid_ga,0,300.0,1,82,11.75,131.6,253.4,91.6,0.032,0.2
hybrid_ga,1,300.0,1,77,11.05,126.7,243.4,88.0,0.027,0.2
hybrid_ga,2,300.0,1,95,14.24,127.1,256.8,100.2,0.037,0.2
hybrid_ga,3,300.0,1,83,11.87,133.2,255.0,91.5,0.042,0.2
hybrid_ga,4,300.0,1,101,14.83,133.1,308.4,145.0,0.028,0.3
hybrid_ga,0,300.0,2,94,13.97,134.9,182.5,16.8,0.023,0.2
hybrid_ga,1,300.0,2,69,10.02,131.7,169.3,7.2,0.022,0.2
hybrid_ga,2,300.0,2,95,13.91,129.0,173.7,14.7,0.024,0.2
hybrid_ga,3,300.0,2,80,11.6,132.0,171.7,9.6,0.028,0.2
hybrid_ga,4,300.0,2,86,12.42,137.8,172.0,3.6,0.049,0.2
hybrid_ga,0,600.0,1,43,6.31,134.1,181.0,17.2,0.033,0.1
hybrid_ga,1,600.0,1,32,4.6,125.3,184.1,30.6,0.024,0.1
hybrid_ga,2,600.0,1,37,5.42,136.3,193.4,25.7,0.022,0.1
hybrid_ga,3,600.0,1,38,5.71,140.6,196.1,22.9,0.024,0.1
hybrid_ga,4,600.0,1,33,4.83,139.0,190.5,20.2,0.022,0.1
hybrid_ga,0,600.0,2,40,5.79,133.4,164.9,0.0,0.025,0.1
hybrid_ga,1,600.0,2,35,5.16,140.4,173.4,0.0,0.015,0.1
hybrid_ga,2,600.0,2,48,7.1,138.8,180.2,10.0,0.024,0.1
hybrid_ga,3,600.0,2,50,7.35,138.9,175.8,6.5,0.029,0.1
hybrid_ga,4,600.0,2,49,7.5,129.9,161.9,3.2,0.033,0.1
